Kanata	0004
C=	1
L	             16	          0	 Scoreboard Set: 11 00000000
R	             13	             13	          0
C	1
S	             15	          0	W
L	             15	          0	 Scoreboard: 10 00000001
I	             18	             18	  0
S	             18	          0	F
L	             18	          0	PC 00000048
S	             16	          0	E
L	             16	          0	 Standard instr 
S	             17	          0	D
L	             17	          0	PC 00000044
S	             17	          0	D
L	             17	          0	 Scoreboard Set: 12 00000000
R	             14	             14	          0
C	1
S	             16	          0	W
L	             16	          0	 Scoreboard: 11 00000001
I	             19	             19	  0
S	             19	          0	F
L	             19	          0	PC 0000004c
S	             17	          0	E
L	             17	          0	 Standard instr 
S	             18	          0	D
L	             18	          0	PC 00000048
S	             18	          0	D
L	             18	          0	 Scoreboard Set: 13 00000000
R	             15	             15	          0
C	1
S	             17	          0	W
L	             17	          0	 Scoreboard: 12 00000001
I	             20	             20	  0
S	             20	          0	F
L	             20	          0	PC 00000050
S	             18	          0	E
L	             18	          0	 Standard instr 
S	             19	          0	D
L	             19	          0	PC 0000004c
S	             19	          0	D
L	             19	          0	 Scoreboard Set: 14 00000000
R	             16	             16	          0
C	1
S	             18	          0	W
L	             18	          0	 Scoreboard: 13 00000001
I	             21	             21	  0
S	             21	          0	F
L	             21	          0	PC 00000054
S	             19	          0	E
L	             19	          0	 Standard instr 
S	             20	          0	D
L	             20	          0	PC 00000050
S	             20	          0	D
L	             20	          0	 Scoreboard Set: 15 00000000
R	             17	             17	          0
C	1
S	             19	          0	W
L	             19	          0	 Scoreboard: 14 00000001
I	             22	             22	  0
S	             22	          0	F
L	             22	          0	PC 00000058
S	             20	          0	E
L	             20	          0	 Standard instr 
S	             21	          0	D
L	             21	          0	PC 00000054
S	             21	          0	D
L	             21	          0	 Scoreboard Set: 16 00000000
R	             18	             18	          0
C	1
S	             20	          0	W
L	             20	          0	 Scoreboard: 15 00000001
I	             23	             23	  0
S	             23	          0	F
L	             23	          0	PC 0000005c
S	             21	          0	E
L	             21	          0	 Standard instr 
S	             22	          0	D
L	             22	          0	PC 00000058
S	             22	          0	D
L	             22	          0	 Scoreboard Set: 17 00000000
R	             19	             19	          0
C	1
S	             21	          0	W
L	             21	          0	 Scoreboard: 16 00000001
I	             24	             24	  0
S	             24	          0	F
L	             24	          0	PC 00000060
S	             22	          0	E
L	             22	          0	 Standard instr 
S	             23	          0	D
L	             23	          0	PC 0000005c
S	             23	          0	D
L	             23	          0	 Scoreboard Set: 18 00000000
R	             20	             20	          0
C	1
S	             22	          0	W
L	             22	          0	 Scoreboard: 17 00000001
I	             25	             25	  0
S	             25	          0	F
L	             25	          0	PC 00000064
S	             23	          0	E
L	             23	          0	 Standard instr 
S	             24	          0	D
L	             24	          0	PC 00000060
S	             24	          0	D
L	             24	          0	 Scoreboard Set: 19 00000000
R	             21	             21	          0
C	1
S	             23	          0	W
L	             23	          0	 Scoreboard: 18 00000001
I	             26	             26	  0
S	             26	          0	F
L	             26	          0	PC 00000068
S	             24	          0	E
L	             24	          0	 Standard instr 
S	             25	          0	D
L	             25	          0	PC 00000064
S	             25	          0	D
L	             25	          0	 Scoreboard Set: 1a 00000000
R	             22	             22	          0
C	1
S	             24	          0	W
L	             24	          0	 Scoreboard: 19 00000001
I	             27	             27	  0
S	             27	          0	F
L	             27	          0	PC 0000006c
S	             25	          0	E
L	             25	          0	 Standard instr 
S	             26	          0	D
L	             26	          0	PC 00000068
S	             26	          0	D
L	             26	          0	 Scoreboard Set: 1b 00000000
R	             23	             23	          0
C	1
S	             25	          0	W
L	             25	          0	 Scoreboard: 1a 00000001
I	             28	             28	  0
S	             28	          0	F
L	             28	          0	PC 00000070
S	             26	          0	E
L	             26	          0	 Standard instr 
S	             27	          0	D
L	             27	          0	PC 0000006c
S	             27	          0	D
L	             27	          0	 Scoreboard Set: 1c 00000000
R	             24	             24	          0
C	1
S	             26	          0	W
L	             26	          0	 Scoreboard: 1b 00000001
I	             29	             29	  0
S	             29	          0	F
L	             29	          0	PC 00000074
S	             27	          0	E
L	             27	          0	 Standard instr 
S	             28	          0	D
L	             28	          0	PC 00000070
S	             28	          0	D
L	             28	          0	 Scoreboard Set: 1d 00000000
R	             25	             25	          0
C	1
S	             27	          0	W
L	             27	          0	 Scoreboard: 1c 00000001
I	             30	             30	  0
S	             30	          0	F
L	             30	          0	PC 00000078
S	             28	          0	E
L	             28	          0	 Standard instr 
S	             29	          0	D
L	             29	          0	PC 00000074
S	             29	          0	D
L	             29	          0	 Scoreboard Set: 1e 00000000
R	             26	             26	          0
C	1
S	             28	          0	W
L	             28	          0	 Scoreboard: 1d 00000001
I	             31	             31	  0
S	             31	          0	F
L	             31	          0	PC 0000007c
S	             29	          0	E
L	             29	          0	 Standard instr 
S	             30	          0	D
L	             30	          0	PC 00000078
S	             30	          0	D
L	             30	          0	 Scoreboard Set: 1f 00000000
R	             27	             27	          0
C	1
S	             29	          0	W
L	             29	          0	 Scoreboard: 1e 00000001
I	             32	             32	  0
S	             32	          0	F
L	             32	          0	PC 00000080
S	             30	          0	E
L	             30	          0	 Standard instr 
S	             31	          0	D
L	             31	          0	PC 0000007c
S	             31	          0	D
L	             31	          0	 Scoreboard Set: 02 00000000
R	             28	             28	          0
C	1
S	             30	          0	W
L	             30	          0	 Scoreboard: 1f 00000001
I	             33	             33	  0
S	             33	          0	F
L	             33	          0	PC 00000084
S	             31	          0	E
L	             31	          0	 Standard instr 
R	             29	             29	          0
C	1
S	             31	          0	W
L	             31	          0	 Scoreboard: 02 00000001
S	             32	          0	D
L	             32	          0	PC 00000080
S	             32	          0	D
L	             32	          0	 Scoreboard Set: 02 00000000
R	             30	             30	          0
C	1
I	             34	             34	  0
S	             34	          0	F
L	             34	          0	PC 00000088
S	             32	          0	E
L	             32	          0	 Standard instr 
S	             33	          0	D
L	             33	          0	PC 00000084
S	             33	          0	D
L	             33	          0	 Scoreboard Set: 01 00000000
R	             31	             31	          0
C	1
S	             32	          0	W
L	             32	          0	 Scoreboard: 02 00000001
I	             35	             35	  0
S	             35	          0	F
L	             35	          0	PC 0000008c
S	             33	          0	E
L	             33	          0	 Ctrl instr 
S	             34	          0	D
L	             34	          0	PC 00000088
S	             34	          0	D
L	             34	          0	 Scoreboard Set: 0a 00000000
C	1
S	             33	          0	W
L	             33	          0	 Scoreboard: 01 00000001
I	             36	             36	  0
S	             36	          0	F
L	             36	          0	PC 00001110
L	             34	          0	 Squashed: 0a 00000001
S	             35	          0	D
L	             35	          0	PC 0000008c
S	             35	          0	D
L	             35	          0	 Scoreboard Set: 01 00000000
R	             32	             32	          0
C	1
I	             37	             37	  0
S	             37	          0	F
L	             37	          0	PC 00001114
L	             35	          0	 Squashed: 01 00000001
S	             36	          0	D
L	             36	          0	PC 00001110
S	             36	          0	D
L	             36	          0	 Scoreboard Set: 02 00000000
R	             33	             33	          0
R	             34	          0	          1
C	1
I	             38	             38	  0
S	             38	          0	F
L	             38	          0	PC 00001118
S	             36	          0	E
L	             36	          0	 Standard instr 
S	             37	          0	D
L	             37	          0	PC 00001114
S	             37	          0	D
L	             37	          0	 Scoreboard Set: 0e 00000000
R	             35	          0	          1
C	1
S	             36	          0	W
L	             36	          0	 Scoreboard: 02 00000001
I	             39	             39	  0
S	             39	          0	F
L	             39	          0	PC 0000111c
S	             37	          0	E
L	             37	          0	 Standard instr 
C	1
S	             37	          0	W
L	             37	          0	 Scoreboard: 0e 00000001
S	             38	          0	D
L	             38	          0	PC 00001118
S	             38	          0	D
R	             36	             34	          0
C	1
I	             40	             40	  0
S	             40	          0	F
L	             40	          0	PC 00001120
S	             38	          0	E
L	             38	          0	 MEM Mem { byte_en: 'hf, addr: 'h0000200c, data: 'h00000000 }
S	             39	          0	D
L	             39	          0	PC 0000111c
S	             39	          0	D
L	             39	          0	 Scoreboard Set: 0e 00000000
R	             37	             35	          0
C	1
S	             38	          0	W
I	             41	             41	  0
S	             41	          0	F
L	             41	          0	PC 00001124
S	             39	          0	E
L	             39	          0	 Standard instr 
C	1
S	             39	          0	W
L	             39	          0	 Scoreboard: 0e 00000001
S	             40	          0	D
L	             40	          0	PC 00001120
S	             40	          0	D
R	             38	             36	          0
C	1
I	             42	             42	  0
S	             42	          0	F
L	             42	          0	PC 00001128
S	             40	          0	E
L	             40	          0	 MEM Mem { byte_en: 'hf, addr: 'h00002010, data: 'h00000000 }
S	             41	          0	D
L	             41	          0	PC 00001124
S	             41	          0	D
L	             41	          0	 Scoreboard Set: 0e 00000000
R	             39	             37	          0
C	1
S	             40	          0	W
I	             43	             43	  0
S	             43	          0	F
L	             43	          0	PC 0000112c
S	             41	          0	E
L	             41	          0	 Standard instr 
C	1
S	             41	          0	W
L	             41	          0	 Scoreboard: 0e 00000001
S	             42	          0	D
L	             42	          0	PC 00001128
S	             42	          0	D
R	             40	             38	          0
C	1
I	             44	             44	  0
S	             44	          0	F
L	             44	          0	PC 00001130
S	             42	          0	E
L	             42	          0	 MEM Mem { byte_en: 'hf, addr: 'h00002014, data: 'h00000000 }
S	             43	          0	D
L	             43	          0	PC 0000112c
S	             43	          0	D
L	             43	          0	 Scoreboard Set: 0e 00000000
R	             41	             39	          0
C	1
S	             42	          0	W
I	             45	             45	  0
S	             45	          0	F
L	             45	          0	PC 00001134
S	             43	          0	E
L	             43	          0	 Standard instr 
C	1
S	             43	          0	W
L	             43	          0	 Scoreboard: 0e 00000001
S	             44	          0	D
L	             44	          0	PC 00001130
S	             44	          0	D
R	             42	             40	          0
C	1
I	             46	             46	  0
S	             46	          0	F
L	             46	          0	PC 00001138
S	             44	          0	E
L	             44	          0	 MEM Mem { byte_en: 'hf, addr: 'h00002018, data: 'h00000000 }
S	             45	          0	D
L	             45	          0	PC 00001134
S	             45	          0	D
L	             45	          0	 Scoreboard Set: 0e 00000000
R	             43	             41	          0
C	1
S	             44	          0	W
I	             47	             47	  0
S	             47	          0	F
L	             47	          0	PC 0000113c
S	             45	          0	E
L	             45	          0	 Standard instr 
C	1
S	             45	          0	W
L	             45	          0	 Scoreboard: 0e 00000001
S	             46	          0	D
L	             46	          0	PC 00001138
S	             46	          0	D
R	             44	             42	          0
C	1
I	             48	             48	  0
S	             48	          0	F
L	             48	          0	PC 00001140
S	             46	          0	E
L	             46	          0	 MEM Mem { byte_en: 'hf, addr: 'h0000201c, data: 'h00000000 }
S	             47	          0	D
L	             47	          0	PC 0000113c
S	             47	          0	D
L	             47	          0	 Scoreboard Set: 0e 00000000
R	             45	             43	          0
C	1
S	             46	          0	W
I	             49	             49	  0
S	             49	          0	F
L	             49	          0	PC 00001144
S	             47	          0	E
L	             47	          0	 Standard instr 
C	1
S	             47	          0	W
L	             47	          0	 Scoreboard: 0e 00000001
S	             48	          0	D
L	             48	          0	PC 00001140
S	             48	          0	D
R	             46	             44	          0
C	1
I	             50	             50	  0
S	             50	          0	F
L	             50	          0	PC 00001148
S	             48	          0	E
L	             48	          0	 MEM Mem { byte_en: 'hf, addr: 'h00002020, data: 'h00000000 }
S	             49	          0	D
L	             49	          0	PC 00001144
S	             49	          0	D
L	             49	          0	 Scoreboard Set: 0e 00000000
R	             47	             45	          0
C	1
S	             48	          0	W
I	             51	             51	  0
S	             51	          0	F
L	             51	          0	PC 0000114c
S	             49	          0	E
L	             49	          0	 Standard instr 
C	1
S	             49	          0	W
L	             49	          0	 Scoreboard: 0e 00000001
S	             50	          0	D
L	             50	          0	PC 00001148
S	             50	          0	D
R	             48	             46	          0
C	1
I	             52	             52	  0
S	             52	          0	F
L	             52	          0	PC 00001150
S	             50	          0	E
L	             50	          0	 MEM Mem { byte_en: 'hf, addr: 'h00002024, data: 'h00000000 }
S	             51	          0	D
L	             51	          0	PC 0000114c
S	             51	          0	D
L	             51	          0	 Scoreboard Set: 0e 00000000
R	             49	             47	          0
C	1
S	             50	          0	W
I	             53	             53	  0
S	             53	          0	F
L	             53	          0	PC 00001154
S	             51	          0	E
L	             51	          0	 Standard instr 
C	1
S	             51	          0	W
L	             51	          0	 Scoreboard: 0e 00000001
S	             52	          0	D
L	             52	          0	PC 00001150
S	             52	          0	D
R	             50	             48	          0
C	1
I	             54	             54	  0
S	             54	          0	F
L	             54	          0	PC 00001158
S	             52	          0	E
L	             52	          0	 MEM Mem { byte_en: 'hf, addr: 'h00002028, data: 'h00000000 }
S	             53	          0	D
L	             53	          0	PC 00001154
S	             53	          0	D
L	             53	          0	 Scoreboard Set: 0e 00000000
R	             51	             49	          0
C	1
S	             52	          0	W
I	             55	             55	  0
S	             55	          0	F
L	             55	          0	PC 0000115c
S	             53	          0	E
L	             53	          0	 Standard instr 
C	1
S	             53	          0	W
L	             53	          0	 Scoreboard: 0e 00000001
S	             54	          0	D
L	             54	          0	PC 00001158
S	             54	          0	D
R	             52	             50	          0
C	1
I	             56	             56	  0
S	             56	          0	F
L	             56	          0	PC 00001160
S	             54	          0	E
L	             54	          0	 MEM Mem { byte_en: 'hf, addr: 'h0000202c, data: 'h00000000 }
S	             55	          0	D
L	             55	          0	PC 0000115c
S	             55	          0	D
L	             55	          0	 Scoreboard Set: 0e 00000000
R	             53	             51	          0
C	1
S	             54	          0	W
I	             57	             57	  0
S	             57	          0	F
L	             57	          0	PC 00001164
S	             55	          0	E
L	             55	          0	 Standard instr 
C	1
S	             55	          0	W
L	             55	          0	 Scoreboard: 0e 00000001
S	             56	          0	D
L	             56	          0	PC 00001160
S	             56	          0	D
